,Unnamed: 0,Scorecard,Team 1,Team 2,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,year,Day,Margin,Victory
1208,1212,ODI # 1264,India,West Indies,Sharjah,1997-12-16,West Indies,U.A.E.,Neutral,Neutral,Second,First,1997,Tuesday,41 runs,batting first
1211,1215,ODI # 1267,India,Sri Lanka,Guwahati,1997-12-22,India,India,Home,Away,Second,First,1997,Monday,7 wickets,batting second
1212,1216,ODI # 1269,India,Sri Lanka,Margao,1997-12-28,Sri Lanka,India,Home,Away,First,Second,1997,Sunday,5 wickets,batting second
1215,1219,ODI # 1273,India,Pakistan,Dhaka,1998-01-11,India,Bangladesh,Neutral,Neutral,First,Second,1998,Sunday,18 runs,batting first
1218,1222,ODI # 1276,India,Pakistan,Dhaka,1998-01-14,India,Bangladesh,Neutral,Neutral,Second,First,1998,Wednesday,8 wickets,batting second
1220,1224,ODI # 1277,India,Pakistan,Dhaka,1998-01-16,Pakistan,Bangladesh,Neutral,Neutral,First,Second,1998,Friday,6 wickets,batting second
1222,1226,ODI # 1279,India,Pakistan,Dhaka,1998-01-18,India,Bangladesh,Neutral,Neutral,Second,First,1998,Sunday,3 wickets,batting second
1243,1247,ODI # 1300,India,Australia,Kochi,1998-04-01,India,India,Home,Away,First,Second,1998,Wednesday,41 runs,batting first
1248,1252,ODI # 1305,India,Zimbabwe,Vadodara,1998-04-05,India,India,Home,Away,First,Second,1998,Sunday,13 runs,batting first
1251,1255,ODI # 1308,India,Australia,Kanpur,1998-04-07,India,India,Home,Away,Second,First,1998,Tuesday,6 wickets,batting second
1254,1258,ODI # 1311,India,Zimbabwe,Cuttack,1998-04-09,India,India,Home,Away,First,Second,1998,Thursday,32 runs,batting first
1259,1263,ODI # 1316,India,Australia,Delhi,1998-04-14,Australia,India,Home,Away,First,Second,1998,Tuesday,4 wickets,batting second
1262,1266,ODI # 1319,India,New Zealand,Sharjah,1998-04-17,India,U.A.E.,Neutral,Neutral,First,Second,1998,Friday,15 runs,batting first
1266,1270,ODI # 1323,India,New Zealand,Sharjah,1998-04-20,New Zealand,U.A.E.,Neutral,Neutral,First,Second,1998,Monday,4 wickets,batting second
1273,1277,ODI # 1330,India,Kenya,Bengaluru,1998-05-20,India,India,Home,Away,Second,First,1998,Wednesday,4 wickets,batting second
1278,1282,ODI # 1335,India,Bangladesh,Mumbai,1998-05-25,India,India,Home,Away,Second,First,1998,Monday,5 wickets,batting second
1279,1283,ODI # 1336,India,Kenya,Gwalior,1998-05-28,Kenya,India,Home,Away,Second,First,1998,Thursday,69 runs,batting first
1280,1284,ODI # 1337,India,Kenya,Kolkata,1998-05-31,India,India,Home,Away,Second,First,1998,Sunday,9 wickets,batting second
1290,1294,ODI # 1349,India,Pakistan,Toronto,1998-09-12,India,Canada,Neutral,Neutral,Second,First,1998,Saturday,6 wickets,batting second
1291,1295,ODI # 1350,India,Pakistan,Toronto,1998-09-13,Pakistan,Canada,Neutral,Neutral,Second,First,1998,Sunday,51 runs,batting first
1292,1296,ODI # 1351,India,Pakistan,Toronto,1998-09-16,Pakistan,Canada,Neutral,Neutral,Second,First,1998,Wednesday,77 runs,batting first
1293,1297,ODI # 1352,India,Pakistan,Toronto,1998-09-19,Pakistan,Canada,Neutral,Neutral,Second,First,1998,Saturday,134 runs,batting first
1294,1298,ODI # 1353,India,Pakistan,Toronto,1998-09-20,Pakistan,Canada,Neutral,Neutral,First,Second,1998,Sunday,5 wickets,batting second
1304,1308,ODI # 1363,India,West Indies,Dhaka,1998-10-31,West Indies,Bangladesh,Neutral,Neutral,First,Second,1998,Saturday,6 wickets,batting second
1307,1311,ODI # 1366,India,Sri Lanka,Sharjah,1998-11-06,India,U.A.E.,Neutral,Neutral,Second,First,1998,Friday,3 wickets,batting second
1310,1314,ODI # 1369,India,Zimbabwe,Sharjah,1998-11-08,India,U.A.E.,Neutral,Neutral,Second,First,1998,Sunday,7 wickets,batting second
1311,1315,ODI # 1370,India,Sri Lanka,Sharjah,1998-11-09,India,U.A.E.,Neutral,Neutral,First,Second,1998,Monday,81 runs,batting first
1314,1318,ODI # 1373,India,Zimbabwe,Sharjah,1998-11-11,Zimbabwe,U.A.E.,Neutral,Neutral,Second,First,1998,Wednesday,13 runs,batting first
1315,1319,ODI # 1374,India,Zimbabwe,Sharjah,1998-11-13,India,U.A.E.,Neutral,Neutral,Second,First,1998,Friday,10 wickets,batting second
1355,1359,ODI # 1415,India,Sri Lanka,Nagpur,1999-03-22,India,India,Home,Away,First,Second,1999,Monday,80 runs,batting first
1357,1361,ODI # 1417,India,Pakistan,Jaipur,1999-03-24,Pakistan,India,Home,Away,Second,First,1999,Wednesday,143 runs,batting first
1364,1368,ODI # 1426,India,Sri Lanka,Pune,1999-03-30,India,India,Home,Away,First,Second,1999,Tuesday,51 runs,batting first
1366,1370,ODI # 1428,India,Pakistan,Bengaluru,1999-04-04,Pakistan,India,Home,Away,Second,First,1999,Sunday,123 runs,batting first
1368,1372,ODI # 1430,India,Pakistan,Sharjah,1999-04-08,Pakistan,U.A.E.,Neutral,Neutral,Second,First,1999,Thursday,116 runs,batting first
1373,1377,ODI # 1435,India,Pakistan,Sharjah,1999-04-13,India,U.A.E.,Neutral,Neutral,Second,First,1999,Tuesday,6 wickets,batting second
1375,1379,ODI # 1437,India,Pakistan,Sharjah,1999-04-16,Pakistan,U.A.E.,Neutral,Neutral,First,Second,1999,Friday,8 wickets,batting second
1387,1391,ODI # 1450,India,Zimbabwe,Leicester,1999-05-19,Zimbabwe,England,Neutral,Neutral,Second,First,1999,Wednesday,3 runs,batting first
1394,1398,ODI # 1457,India,Kenya,Bristol,1999-05-23,India,England,Neutral,Neutral,First,Second,1999,Sunday,94 runs,batting first
1400,1404,ODI # 1463,India,Sri Lanka,Taunton,1999-05-26,India,England,Neutral,Neutral,First,Second,1999,Wednesday,157 runs,batting first
1412,1416,ODI # 1476,India,Pakistan,Manchester,1999-06-08,India,England,Neutral,Neutral,First,Second,1999,Tuesday,47 runs,batting first
1416,1420,ODI # 1480,India,New Zealand,Nottingham,1999-06-12,New Zealand,England,Neutral,Neutral,First,Second,1999,Saturday,5 wickets,batting second
1431,1435,ODI # 1497,India,West Indies,Toronto,1999-09-11,India,Canada,Neutral,Neutral,Second,First,1999,Saturday,8 wickets,batting second
1432,1436,ODI # 1498,India,West Indies,Toronto,1999-09-12,West Indies,Canada,Neutral,Neutral,Second,First,1999,Sunday,70 runs,batting first
1433,1437,ODI # 1499,India,West Indies,Toronto,1999-09-14,India,Canada,Neutral,Neutral,First,Second,1999,Tuesday,88 runs,batting first
1438,1442,ODI # 1504,India,South Africa,Nairobi,1999-09-26,India,Kenya,Neutral,Neutral,Second,First,1999,Sunday,8 wickets,batting second
1442,1446,ODI # 1508,India,Zimbabwe,Nairobi,1999-10-01,India,Kenya,Neutral,Neutral,First,Second,1999,Friday,107 runs,batting first
1443,1447,ODI # 1509,India,South Africa,Nairobi,1999-10-03,South Africa,Kenya,Neutral,Neutral,Second,First,1999,Sunday,26 runs,batting first
1455,1459,ODI # 1522,India,New Zealand,Rajkot,1999-11-05,New Zealand,India,Home,Away,Second,First,1999,Friday,43 runs,batting first
1456,1460,ODI # 1523,India,New Zealand,Hyderabad,1999-11-08,India,India,Home,Away,First,Second,1999,Monday,174 runs,batting first
1457,1461,ODI # 1524,India,New Zealand,Gwalior,1999-11-11,India,India,Home,Away,First,Second,1999,Thursday,14 runs,batting first
1458,1462,ODI # 1525,India,New Zealand,Guwahati,1999-11-14,New Zealand,India,Home,Away,Second,First,1999,Sunday,48 runs,batting first
1459,1463,ODI # 1526,India,New Zealand,Delhi,1999-11-17,India,India,Home,Away,Second,First,1999,Wednesday,7 wickets,batting second
1469,1473,ODI # 1537,India,Pakistan,Brisbane,2000-01-10,Pakistan,Australia,Neutral,Neutral,First,Second,2000,Monday,2 wickets,batting second
1475,1479,ODI # 1543,India,Pakistan,Hobart,2000-01-21,Pakistan,Australia,Neutral,Neutral,Second,First,2000,Friday,32 runs,batting first
1479,1483,ODI # 1547,India,Pakistan,Adelaide,2000-01-25,India,Australia,Neutral,Neutral,First,Second,2000,Tuesday,48 runs,batting first
1482,1486,ODI # 1550,India,Pakistan,Perth,2000-01-28,Pakistan,Australia,Neutral,Neutral,Second,First,2000,Friday,104 runs,batting first
1503,1507,ODI # 1572,India,South Africa,Kochi,2000-03-09,India,India,Home,Away,Second,First,2000,Thursday,3 wickets,batting second
1504,1508,ODI # 1573,India,South Africa,Jamshedpur,2000-03-12,India,India,Home,Away,Second,First,2000,Sunday,6 wickets,batting second
1505,1509,ODI # 1574,India,South Africa,Faridabad,2000-03-15,South Africa,India,Home,Away,First,Second,2000,Wednesday,2 wickets,batting second
1506,1510,ODI # 1575,India,South Africa,Vadodara,2000-03-17,India,India,Home,Away,Second,First,2000,Friday,4 wickets,batting second
1507,1511,ODI # 1576,India,South Africa,Nagpur,2000-03-19,South Africa,India,Home,Away,Second,First,2000,Sunday,10 runs,batting first
1508,1512,ODI # 1577,India,South Africa,Sharjah,2000-03-22,South Africa,U.A.E.,Neutral,Neutral,First,Second,2000,Wednesday,10 wickets,batting second
1509,1513,ODI # 1578,India,Pakistan,Sharjah,2000-03-23,India,U.A.E.,Neutral,Neutral,Second,First,2000,Thursday,5 wickets,batting second
1511,1515,ODI # 1580,India,Pakistan,Sharjah,2000-03-26,Pakistan,U.A.E.,Neutral,Neutral,Second,First,2000,Sunday,98 runs,batting first
1512,1516,ODI # 1581,India,South Africa,Sharjah,2000-03-27,South Africa,U.A.E.,Neutral,Neutral,First,Second,2000,Monday,6 wickets,batting second
1529,1533,ODI # 1598,India,Sri Lanka,Dhaka,2000-06-01,Sri Lanka,Bangladesh,Neutral,Neutral,Second,First,2000,Thursday,71 runs,batting first
1531,1535,ODI # 1600,India,Pakistan,Dhaka,2000-06-03,Pakistan,Bangladesh,Neutral,Neutral,Second,First,2000,Saturday,44 runs,batting first
1567,1571,ODI # 1638,India,South Africa,Nairobi,2000-10-13,India,Kenya,Neutral,Neutral,First,Second,2000,Friday,95 runs,batting first
1568,1572,ODI # 1639,India,New Zealand,Nairobi,2000-10-15,New Zealand,Kenya,Neutral,Neutral,First,Second,2000,Sunday,4 wickets,batting second
1569,1573,ODI # 1640,India,Sri Lanka,Sharjah,2000-10-20,Sri Lanka,U.A.E.,Neutral,Neutral,First,Second,2000,Friday,5 wickets,batting second
1572,1576,ODI # 1644,India,Zimbabwe,Sharjah,2000-10-22,India,U.A.E.,Neutral,Neutral,First,Second,2000,Sunday,13 runs,batting first
1576,1580,ODI # 1648,India,Zimbabwe,Sharjah,2000-10-26,India,U.A.E.,Neutral,Neutral,Second,First,2000,Thursday,3 wickets,batting second
1578,1582,ODI # 1650,India,Sri Lanka,Sharjah,2000-10-27,Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,2000,Friday,68 runs,batting first
1580,1584,ODI # 1652,India,Sri Lanka,Sharjah,2000-10-29,Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,2000,Sunday,245 runs,batting first
1584,1588,ODI # 1656,India,Zimbabwe,Cuttack,2000-12-02,India,India,Home,Away,Second,First,2000,Saturday,3 wickets,batting second
1585,1589,ODI # 1657,India,Zimbabwe,Ahmedabad,2000-12-05,India,India,Home,Away,First,Second,2000,Tuesday,61 runs,batting first
1586,1590,ODI # 1658,India,Zimbabwe,Jodhpur,2000-12-08,Zimbabwe,India,Home,Away,First,Second,2000,Friday,1 wicket,batting first
1587,1591,ODI # 1659,India,Zimbabwe,Kanpur,2000-12-11,India,India,Home,Away,Second,First,2000,Monday,9 wickets,batting second
1588,1592,ODI # 1660,India,Zimbabwe,Rajkot,2000-12-14,India,India,Home,Away,First,Second,2000,Thursday,39 runs,batting first
1624,1628,ODI # 1696,India,Australia,Bengaluru,2001-03-25,India,India,Home,Away,First,Second,2001,Sunday,60 runs,batting first
1626,1630,ODI # 1698,India,Australia,Pune,2001-03-28,Australia,India,Home,Away,First,Second,2001,Wednesday,8 wickets,batting second
1627,1631,ODI # 1699,India,Australia,Indore,2001-03-31,India,India,Home,Away,First,Second,2001,Saturday,118 runs,batting first
1628,1632,ODI # 1700,India,Australia,Visakhapatnam,2001-04-03,Australia,India,Home,Away,Second,First,2001,Tuesday,93 runs,batting first
1629,1633,ODI # 1701,India,Australia,Margao,2001-04-06,Australia,India,Home,Away,First,Second,2001,Friday,4 wickets,batting second
1658,1663,ODI # 1731,India,West Indies,Bulawayo,2001-06-30,India,Zimbabwe,Neutral,Neutral,Second,First,2001,Saturday,6 wickets,batting second
1660,1665,ODI # 1733,India,West Indies,Harare,2001-07-04,India,Zimbabwe,Neutral,Neutral,Second,First,2001,Wednesday,6 wickets,batting second
1661,1666,ODI # 1734,India,West Indies,Harare,2001-07-07,West Indies,Zimbabwe,Neutral,Neutral,Second,First,2001,Saturday,16 runs,batting first
1663,1668,ODI # 1736,India,New Zealand,Colombo,2001-07-20,New Zealand,Sri Lanka,Neutral,Neutral,Second,First,2001,Friday,84 runs,batting first
1666,1671,ODI # 1739,India,New Zealand,Colombo,2001-07-26,New Zealand,Sri Lanka,Neutral,Neutral,Second,First,2001,Thursday,67 runs,batting first
1670,1675,ODI # 1743,India,New Zealand,Colombo,2001-08-02,India,Sri Lanka,Neutral,Neutral,Second,First,2001,Thursday,7 wickets,batting second
1685,1690,ODI # 1758,India,Kenya,Bloemfontein,2001-10-12,India,South Africa,Neutral,Neutral,Second,First,2001,Friday,10 wickets,batting second
1688,1693,ODI # 1761,India,Kenya,Port Elizabeth,2001-10-17,Kenya,South Africa,Neutral,Neutral,Second,First,2001,Wednesday,70 runs,batting first
1691,1696,ODI # 1764,India,Kenya,Paarl,2001-10-24,India,South Africa,Neutral,Neutral,First,Second,2001,Wednesday,186 runs,batting first
1715,1720,ODI # 1788,India,England,Kolkata,2002-01-19,India,India,Home,Away,First,Second,2002,Saturday,22 runs,batting first
1719,1724,ODI # 1792,India,England,Cuttack,2002-01-22,England,India,Home,Away,Second,First,2002,Tuesday,16 runs,batting first
1722,1727,ODI # 1795,India,England,Chennai,2002-01-25,India,India,Home,Away,Second,First,2002,Friday,4 wickets,batting second
1725,1730,ODI # 1798,India,England,Kanpur,2002-01-28,India,India,Home,Away,Second,First,2002,Monday,8 wickets,batting second
1727,1732,ODI # 1800,India,England,Delhi,2002-01-31,England,India,Home,Away,Second,First,2002,Thursday,2 runs,batting first
1730,1735,ODI # 1803,India,England,Mumbai,2002-02-03,England,India,Home,Away,Second,First,2002,Sunday,5 runs,batting first
1741,1746,ODI # 1814,India,Zimbabwe,Faridabad,2002-03-07,Zimbabwe,India,Home,Away,First,Second,2002,Thursday,1 wicket,batting first
1743,1748,ODI # 1816,India,Zimbabwe,Kochi,2002-03-13,Zimbabwe,India,Home,Away,First,Second,2002,Wednesday,6 wickets,batting second
1744,1749,ODI # 1817,India,Zimbabwe,Hyderabad,2002-03-16,India,India,Home,Away,Second,First,2002,Saturday,5 wickets,batting second
1745,1750,ODI # 1818,India,Zimbabwe,Guwahati,2002-03-19,India,India,Home,Away,First,Second,2002,Tuesday,101 runs,batting first
1774,1779,ODI # 1849,India,Sri Lanka,The Oval,2002-06-30,India,England,Neutral,Neutral,Second,First,2002,Sunday,4 wickets,batting second
1776,1781,ODI # 1852,India,Sri Lanka,Birmingham,2002-07-06,India,England,Neutral,Neutral,Second,First,2002,Saturday,4 wickets,batting second
1779,1784,ODI # 1855,India,Sri Lanka,Bristol,2002-07-11,India,England,Neutral,Neutral,First,Second,2002,Thursday,63 runs,batting first
1799,1804,ODI # 1876,India,Zimbabwe,Colombo,2002-09-14,India,Sri Lanka,Neutral,Neutral,First,Second,2002,Saturday,14 runs,batting first
1809,1814,ODI # 1886,India,South Africa,Colombo,2002-09-25,India,Sri Lanka,Neutral,Neutral,First,Second,2002,Wednesday,10 runs,batting first
1814,1819,ODI # 1893,India,West Indies,Jamshedpur,2002-11-06,West Indies,India,Home,Away,First,Second,2002,Wednesday,4 wickets,batting second
1815,1820,ODI # 1894,India,West Indies,Nagpur,2002-11-09,West Indies,India,Home,Away,First,Second,2002,Saturday,7 wickets,batting second
1816,1821,ODI # 1895,India,West Indies,Rajkot,2002-11-12,India,India,Home,Away,First,Second,2002,Tuesday,81 runs,batting first
1817,1822,ODI # 1896,India,West Indies,Ahmedabad,2002-11-15,India,India,Home,Away,Second,First,2002,Friday,5 wickets,batting second
1818,1823,ODI # 1897,India,West Indies,Vadodara,2002-11-18,West Indies,India,Home,Away,First,Second,2002,Monday,5 wickets,batting second
1819,1824,ODI # 1898,India,West Indies,Jodhpur,2002-11-21,India,India,Home,Away,Second,First,2002,Thursday,3 wickets,batting second
1821,1826,ODI # 1900,India,West Indies,Vijayawada,2002-11-24,West Indies,India,Home,Away,Second,First,2002,Sunday,135 runs,batting first
1867,1872,ODI # 1948,India,Netherlands,Paarl,2003-02-12,India,South Africa,Neutral,Neutral,First,Second,2003,Wednesday,68 runs,batting first
1882,1887,ODI # 1964,India,Namibia,Pietermaritzburg,2003-02-23,India,South Africa,Neutral,Neutral,First,Second,2003,Sunday,181 runs,batting first
1893,1898,ODI # 1975,India,Pakistan,Centurion,2003-03-01,India,South Africa,Neutral,Neutral,Second,First,2003,Saturday,6 wickets,batting second
1899,1904,ODI # 1983,India,Kenya,Cape Town,2003-03-07,India,South Africa,Neutral,Neutral,Second,First,2003,Friday,6 wickets,batting second
1901,1906,ODI # 1985,India,Sri Lanka,Johannesburg,2003-03-10,India,South Africa,Neutral,Neutral,First,Second,2003,Monday,183 runs,batting first
1904,1909,ODI # 1988,India,New Zealand,Centurion,2003-03-14,India,South Africa,Neutral,Neutral,Second,First,2003,Friday,7 wickets,batting second
1908,1913,ODI # 1992,India,Kenya,Durban,2003-03-20,India,South Africa,Neutral,Neutral,First,Second,2003,Thursday,91 runs,batting first
1918,1923,ODI # 2002,India,South Africa,Dhaka,2003-04-13,India,Bangladesh,Neutral,Neutral,First,Second,2003,Sunday,153 runs,batting first
1922,1927,ODI # 2006,India,South Africa,Dhaka,2003-04-18,South Africa,Bangladesh,Neutral,Neutral,First,Second,2003,Friday,5 wickets,batting second
1965,1970,ODI # 2052,India,Australia,Gwalior,2003-10-26,India,India,Home,Away,First,Second,2003,Sunday,37 runs,batting first
1967,1972,ODI # 2054,India,Australia,Mumbai,2003-11-01,Australia,India,Home,Away,Second,First,2003,Saturday,77 runs,batting first
1969,1974,ODI # 2056,India,New Zealand,Cuttack,2003-11-06,New Zealand,India,Home,Away,First,Second,2003,Thursday,4 wickets,batting second
1974,1979,ODI # 2061,India,Australia,Bengaluru,2003-11-12,Australia,India,Home,Away,Second,First,2003,Wednesday,61 runs,batting first
1975,1980,ODI # 2062,India,New Zealand,Hyderabad,2003-11-15,India,India,Home,Away,First,Second,2003,Saturday,145 runs,batting first
1977,1982,ODI # 2064,India,Australia,Kolkata,2003-11-18,Australia,India,Home,Away,Second,First,2003,Tuesday,37 runs,batting first
1994,1999,ODI # 2080,India,Zimbabwe,Hobart,2004-01-14,India,Australia,Neutral,Neutral,Second,First,2004,Wednesday,7 wickets,batting second
1998,2003,ODI # 2085,India,Zimbabwe,Brisbane,2004-01-20,India,Australia,Neutral,Neutral,First,Second,2004,Tuesday,24 runs,batting first
2000,2005,ODI # 2087,India,Zimbabwe,Adelaide,2004-01-24,India,Australia,Neutral,Neutral,First,Second,2004,Saturday,3 runs,batting first
2006,2011,ODI # 2095,India,Zimbabwe,Perth,2004-02-03,India,Australia,Neutral,Neutral,Second,First,2004,Tuesday,4 wickets,batting second
2052,2057,ODI # 2144,India,U.A.E.,Dambulla,2004-07-16,India,Sri Lanka,Neutral,Neutral,First,Second,2004,Friday,116 runs,batting first
2060,2065,ODI # 2152,India,Pakistan,Colombo,2004-07-25,Pakistan,Sri Lanka,Neutral,Neutral,Second,First,2004,Sunday,59 runs,batting first
2065,2070,ODI # 2157,India,Pakistan,Amstelveen,2004-08-21,Pakistan,Netherlands,Neutral,Neutral,Second,First,2004,Saturday,66 runs,batting first
2077,2082,ODI # 2170,India,Kenya,Southampton,2004-09-11,India,England,Neutral,Neutral,First,Second,2004,Saturday,98 runs,batting first
2086,2091,ODI # 2179,India,Pakistan,Birmingham,2004-09-19,Pakistan,England,Neutral,Neutral,First,Second,2004,Sunday,3 wickets,batting second
2099,2104,ODI # 2192,India,Pakistan,Kolkata,2004-11-13,Pakistan,India,Home,Away,First,Second,2004,Saturday,6 wickets,batting second
2138,2143,ODI # 2235,India,Pakistan,Kochi,2005-04-02,India,India,Home,Away,First,Second,2005,Saturday,87 runs,batting first
2139,2144,ODI # 2236,India,Pakistan,Visakhapatnam,2005-04-05,India,India,Home,Away,First,Second,2005,Tuesday,58 runs,batting first
2140,2145,ODI # 2237,India,Pakistan,Jamshedpur,2005-04-09,Pakistan,India,Home,Away,Second,First,2005,Saturday,106 runs,batting first
2141,2146,ODI # 2238,India,Pakistan,Ahmedabad,2005-04-12,Pakistan,India,Home,Away,First,Second,2005,Tuesday,3 wickets,batting second
2142,2147,ODI # 2239,India,Pakistan,Kanpur,2005-04-15,Pakistan,India,Home,Away,First,Second,2005,Friday,5 wickets,batting second
2143,2148,ODI # 2240,India,Pakistan,Delhi,2005-04-17,Pakistan,India,Home,Away,Second,First,2005,Sunday,159 runs,batting first
2164,2169,ODI # 2263,India,West Indies,Dambulla,2005-07-31,India,Sri Lanka,Neutral,Neutral,Second,First,2005,Sunday,6 wickets,batting second
2168,2173,ODI # 2267,India,West Indies,Colombo,2005-08-07,India,Sri Lanka,Neutral,Neutral,First,Second,2005,Sunday,7 runs,batting first
2171,2176,ODI # 2273,India,New Zealand,Bulawayo,2005-08-26,New Zealand,Zimbabwe,Neutral,Neutral,Second,First,2005,Friday,51 runs,batting first
2176,2181,ODI # 2278,India,New Zealand,Harare,2005-09-02,India,Zimbabwe,Neutral,Neutral,Second,First,2005,Friday,6 wickets,batting second
2179,2184,ODI # 2281,India,New Zealand,Harare,2005-09-06,New Zealand,Zimbabwe,Neutral,Neutral,First,Second,2005,Tuesday,6 wickets,batting second
2181,2186,ODI # 2286,India,Sri Lanka,Nagpur,2005-10-25,India,India,Home,Away,First,Second,2005,Tuesday,152 runs,batting first
2185,2190,ODI # 2290,India,Sri Lanka,Jaipur,2005-10-31,India,India,Home,Away,Second,First,2005,Monday,6 wickets,batting second
2186,2191,ODI # 2291,India,Sri Lanka,Pune,2005-11-03,India,India,Home,Away,Second,First,2005,Thursday,4 wickets,batting second
2188,2193,ODI # 2294,India,Sri Lanka,Ahmedabad,2005-11-06,Sri Lanka,India,Home,Away,First,Second,2005,Sunday,5 wickets,batting second
2189,2194,ODI # 2295,India,Sri Lanka,Rajkot,2005-11-09,India,India,Home,Away,Second,First,2005,Wednesday,7 wickets,batting second
2190,2195,ODI # 2296,India,Sri Lanka,Vadodara,2005-11-12,India,India,Home,Away,Second,First,2005,Saturday,5 wickets,batting second
2191,2196,ODI # 2297,India,South Africa,Hyderabad,2005-11-16,South Africa,India,Home,Away,First,Second,2005,Wednesday,5 wickets,batting second
2192,2197,ODI # 2298,India,South Africa,Bengaluru,2005-11-19,India,India,Home,Away,Second,First,2005,Saturday,6 wickets,batting second
2193,2198,ODI # 2299,India,South Africa,Kolkata,2005-11-25,South Africa,India,Home,Away,First,Second,2005,Friday,10 wickets,batting second
2194,2199,ODI # 2300,India,South Africa,Mumbai,2005-11-28,India,India,Home,Away,Second,First,2005,Monday,5 wickets,batting second
2250,2255,ODI # 2357,India,England,Delhi,2006-03-28,India,India,Home,Away,First,Second,2006,Tuesday,39 runs,batting first
2251,2256,ODI # 2358,India,England,Faridabad,2006-03-31,India,India,Home,Away,Second,First,2006,Friday,4 wickets,batting second
2252,2257,ODI # 2359,India,England,Margao,2006-04-03,India,India,Home,Away,First,Second,2006,Monday,49 runs,batting first
2253,2258,ODI # 2360,India,England,Kochi,2006-04-06,India,India,Home,Away,Second,First,2006,Thursday,4 wickets,batting second
2254,2259,ODI # 2361,India,England,Jamshedpur,2006-04-12,England,India,Home,Away,First,Second,2006,Wednesday,5 wickets,batting second
2255,2260,ODI # 2362,India,England,Indore,2006-04-15,India,India,Home,Away,Second,First,2006,Saturday,7 wickets,batting second
2256,2261,ODI # 2363,India,Pakistan,Abu Dhabi,2006-04-18,Pakistan,U.A.E.,Neutral,Neutral,First,Second,2006,Tuesday,6 wickets,batting second
2257,2262,ODI # 2364,India,Pakistan,Abu Dhabi,2006-04-19,India,U.A.E.,Neutral,Neutral,First,Second,2006,Wednesday,51 runs,batting first
2303,2308,ODI # 2414,India,West Indies,Kuala Lumpur,2006-09-14,West Indies,Malaysia,Neutral,Neutral,Second,First,2006,Thursday,29 runs,batting first
2307,2312,ODI # 2419,India,West Indies,Kuala Lumpur,2006-09-20,India,Malaysia,Neutral,Neutral,First,Second,2006,Wednesday,16 runs,batting first
2317,2322,ODI # 2429,India,England,Jaipur,2006-10-15,India,India,Home,Away,Second,First,2006,Sunday,4 wickets,batting second
2325,2330,ODI # 2437,India,West Indies,Ahmedabad,2006-10-26,West Indies,India,Home,Away,First,Second,2006,Thursday,3 wickets,batting second
2367,2372,ODI # 2480,India,West Indies,Nagpur,2007-01-21,India,India,Home,Away,First,Second,2007,Sunday,14 runs,batting first
2372,2377,ODI # 2485,India,West Indies,Cuttack,2007-01-24,India,India,Home,Away,First,Second,2007,Wednesday,20 runs,batting first
2374,2379,ODI # 2487,India,West Indies,Chennai,2007-01-27,West Indies,India,Home,Away,First,Second,2007,Saturday,3 wickets,batting second
2380,2385,ODI # 2493,India,West Indies,Vadodara,2007-01-31,India,India,Home,Away,First,Second,2007,Wednesday,160 runs,batting first
2405,2410,ODI # 2520,India,Sri Lanka,Rajkot,2007-02-11,Sri Lanka,India,Home,Away,Second,First,2007,Sunday,5 runs,batting first
2407,2412,ODI # 2522,India,Sri Lanka,Margao,2007-02-14,India,India,Home,Away,Second,First,2007,Wednesday,5 wickets,batting second
2410,2415,ODI # 2525,India,Sri Lanka,Visakhapatnam,2007-02-17,India,India,Home,Away,Second,First,2007,Saturday,7 wickets,batting second
2434,2439,ODI # 2550,India,Sri Lanka,Port of Spain,2007-03-23,Sri Lanka,West Indies,Neutral,Neutral,Second,First,2007,Friday,69 runs,batting first
2473,2478,ODI # 2592,India,South Africa,Belfast,2007-06-26,South Africa,Ireland,Neutral,Neutral,First,Second,2007,Tuesday,4 wickets,batting second
2474,2479,ODI # 2593,India,South Africa,Belfast,2007-06-29,India,Ireland,Neutral,Neutral,Second,First,2007,Friday,6 wickets,batting second
2476,2481,ODI # 2595,India,South Africa,Belfast,2007-07-01,India,Ireland,Neutral,Neutral,Second,First,2007,Sunday,6 wickets,batting second
2501,2506,ODI # 2623,India,Australia,Kochi,2007-10-02,Australia,India,Home,Away,Second,First,2007,Tuesday,84 runs,batting first
2503,2508,ODI # 2625,India,Australia,Hyderabad,2007-10-05,Australia,India,Home,Away,Second,First,2007,Friday,47 runs,batting first
2505,2510,ODI # 2627,India,Australia,Chandigarh,2007-10-08,India,India,Home,Away,First,Second,2007,Monday,8 runs,batting first
2507,2512,ODI # 2629,India,Australia,Vadodara,2007-10-11,Australia,India,Home,Away,First,Second,2007,Thursday,9 wickets,batting second
2509,2514,ODI # 2631,India,Australia,Nagpur,2007-10-14,Australia,India,Home,Away,Second,First,2007,Sunday,18 runs,batting first
2510,2515,ODI # 2632,India,Australia,Mumbai,2007-10-17,India,India,Home,Away,Second,First,2007,Wednesday,2 wickets,batting second
2521,2526,ODI # 2643,India,Pakistan,Guwahati,2007-11-05,India,India,Home,Away,Second,First,2007,Monday,5 wickets,batting second
